time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,stationName,active
2020-11-03T08:18:56.535Z,20.95118,105.870767,388.01,5.7,mww,,87,4.796,0.82,vn,us7000c9mz,2020-11-03T10:21:33.507Z,"267 km WNW of Haveluloto, Tonga",earthquake,7.9,5.6,0.073,18,reviewed,vn,vn,tram xxx,1
2020-11-03T08:03:44.121Z,-62.3207,164.8701,36.05,4.7,mb,,157,15.305,1.18,us,us7000c9mr,2020-11-03T08:22:03.040Z,Balleny Islands region,earthquake,14.4,7.3,0.124,20,reviewed,us,us,tram xxx,1
2020-11-03T06:35:01.639Z,56.0283,-149.6435,0.5,3,ml,,,,1.15,ak,ak020e5hawdw,2020-11-03T07:28:21.995Z,"238 km SE of Chiniak, Alaska",earthquake,,2.6,,,reviewed,ak,ak,tram xxx,1
2020-11-03T06:10:07.579Z,57.6712,-32.9529,10,4.6,mb,,84,8.276,0.51,us,us7000c9m6,2020-11-03T07:06:19.040Z,Reykjanes Ridge,earthquake,6.5,1.8,0.054,103,reviewed,us,us,tram xxx,1
2020-11-03T05:24:33.239Z,-5.8523,153.542,10,4.8,mb,,37,2.146,0.43,us,us7000c9lj,2020-11-03T10:01:06.040Z,"218 km SE of Kokopo, Papua New Guinea",earthquake,7.5,1.8,0.076,55,reviewed,us,us,tram xxx,1
2020-11-03T04:35:55.377Z,-6.7414,129.6983,104.97,4.5,mb,,73,2.01,1.02,us,us7000c9kx,2020-11-03T05:04:05.040Z,Banda Sea,earthquake,4.5,9.4,0.136,16,reviewed,us,us,tram xxx,1
2020-11-03T04:25:07.586Z,38.6305,-0.491,4.55,3.3,ml,,121,1.117,0.84,us,us7000c9lp,2020-11-03T09:00:35.611Z,"7 km E of Ibi, Spain",earthquake,6,9.6,0.148,6,reviewed,us,us,tram xxx,1
2020-11-03T04:19:34.670Z,17.9501,-67.097,10,3.21,md,20,236,0.0562,0.18,pr,pr2020308000,2020-11-03T04:49:48.382Z,"6 km WSW of La Parguera, Puerto Rico",earthquake,0.69,0.42,0.35,14,reviewed,pr,pr,tram xxx,1
2020-11-03T04:17:25.830Z,59.6054,-139.4606,11.8,2.6,ml,,,,0.81,ak,ak020e5g0bnd,2020-11-03T04:34:07.040Z,"16 km ENE of Yakutat, Alaska",earthquake,,0.3,,,automatic,ak,ak,tram xxx,1
2020-11-03T04:01:14.472Z,53.1664,-162.0886,10,3,ml,,252,1.916,0.74,us,us7000c9kl,2020-11-03T04:28:03.040Z,"206 km SSE of False Pass, Alaska",earthquake,3.8,2,0.097,14,reviewed,us,us,tram xxx,1
2020-11-03T02:40:55.367Z,-44.38,-79.3519,10,6,mww,,139,4.31,0.7,us,us7000c9jz,2020-11-03T05:20:18.040Z,"Off the coast of Aisen, Chile",earthquake,10,1.9,0.048,41,reviewed,us,us,tram xxx,1
2020-11-03T02:07:06.249Z,53.361,-159.9873,39.5,3.1,ml,,,,0.59,ak,ak020e5erbeb,2020-11-03T04:00:47.484Z,"222 km S of Sand Point, Alaska",earthquake,,2.2,,,reviewed,ak,ak,tram xxx,1
2020-11-03T02:02:31.136Z,-0.1619,124.5075,67.58,4.4,mb,,69,1.943,0.84,us,us7000c9ju,2020-11-03T02:21:34.040Z,"166 km SSW of Tomohon, Indonesia",earthquake,7.7,11.8,0.155,12,reviewed,us,us,tram xxx,1
2020-11-03T01:51:03.111Z,0.1989,97.852,18.85,5,mww,,161,1.131,0.89,us,us7000c9jm,2020-11-03T02:06:47.040Z,"199 km SSW of Sibolga, Indonesia",earthquake,4.8,4.7,0.098,10,reviewed,us,us,tram xxx,1
2020-11-03T01:41:59.759Z,31.2509,-103.498,5,2.6,ml,,32,0.153,0.66,us,us7000c9jj,2020-11-03T02:02:20.040Z,"13 km SSE of Lindsay, Texas",earthquake,0.9,1.5,0.076,46,reviewed,us,us,tram xxx,1
2020-11-03T00:11:39.398Z,29.05,51.247,10,4.1,mb,,93,4.564,1.01,us,us7000c9j0,2020-11-03T00:49:45.391Z,"24 km S of Borāzjān, Iran",earthquake,7.3,2,0.117,20,reviewed,us,us,tram xxx,1
2020-11-02T23:27:28.270Z,18.22,-66.3756,31,2.79,md,19,98,0.25,0.16,pr,pr2020307012,2020-11-03T00:16:34.463Z,"1 km ESE of Orocovis, Puerto Rico",earthquake,0.44,0.73,0.17,14,reviewed,pr,pr,tram xxx,1
2020-11-02T23:25:27.640Z,14.3088,-92.9933,35,4.7,mb,,142,1.276,0.83,us,us7000c9i8,2020-11-02T23:45:44.040Z,"76 km SW of Puerto Madero, Mexico",earthquake,2.7,2,0.031,314,reviewed,us,us,tram xxx,1
2020-11-02T22:49:36.970Z,17.9791,-66.9995,11,2.65,md,16,167,0.0458,0.14,pr,pr2020307010,2020-11-03T00:08:58.447Z,"5 km E of La Parguera, Puerto Rico",earthquake,0.49,0.36,0.29,15,reviewed,pr,pr,tram xxx,1
2020-11-02T22:44:27.150Z,17.9515,-66.8395,13,2.57,md,18,188,0.0462,0.18,pr,pr2020307009,2020-11-03T00:07:55.207Z,"5 km SSW of Indios, Puerto Rico",earthquake,0.71,0.32,0.22,13,reviewed,pr,pr,tram xxx,1
2020-11-02T22:22:14.460Z,39.3639984,-123.2423325,6.56,3.18,ml,26,87,0.06862,0.06,nc,nc73477356,2020-11-03T10:45:27.938Z,"11km ESE of Willits, CA",earthquake,0.22,0.63,0.379,5,automatic,nc,nc,tram xxx,1
2020-11-02T20:52:57.980Z,17.9046,-66.8401,12,2.54,md,15,224,0.0806,0.09,pr,pr2020307008,2020-11-02T21:25:28.776Z,"9 km SSE of Maria Antonia, Puerto Rico",earthquake,0.53,0.31,0.23,13,reviewed,pr,pr,tram xxx,1
